USAToday NBA Salaries 2008-09,,,,,,,,
,,,,,,,,
Last Name,First Name,City,Team,Annual Salary,Contract Yrs,Contract Amt,Contract Thru,Position
   Millsap , Paul,Utah,Jazz,797581,3,2110000,2008-09,F
   Mobley, Cuttino,New York,Knicks,8425000,5,42000000,2009-10,G
   Mohammed, Nazr,Charlotte,Bobcats,6049400,5,31000000,2010-11 (t),C
   Moon, Jamario,Toronto,Raptors,711517,3,1138680,2009-10,F
   Moore, Mikki,Sacramento,Kings,5784480,3,18000000,2009-10,F-C
   Morris , Randolph,Atlanta,Hawks,797581,1,797581,2008-09,C
   Morrow, Anthony,Golden State,Warriors,442114,2,1178534,2009-10,G
   Murray, Ronald,Atlanta,Hawks,1500000,1,1500000,2008-09,G
   Mutombo, Dikembe,Houston,Rockets,787066,1,770610,2007-08,C
   Najera, Eduardo,New Jersey,Nets,3250000,4,12000000,2011-12,F
   Nash, Steve,Phoenix,Suns,12250000,6,66000000,2009-10 (t),G
   Nelson, Jameer,Orlando,Magic,7600000,5,35000000,2011-12 (p),G
   Nelson, DeMarcus,Golden State,Warriors,182047,1,182047,2008-09,G
   Nesterovic, Rasho,Indiana,Pacers,8400000,6,42000000,2007-08,C
   Noah, Joakim,Chicago,Bulls,2295480,5,11115727,2011-12 (t),C-F
   Nocioni, Andres,Chicago,Bulls,8000000,5,37500000,2011-12 (t),F
   Novak , Steve,Los Angeles,Clippers,797581,3,2090000,2008-09 (t),F
   Nowitzki, Dirk,Dallas,Mavericks,18077904,3,60000000,2010-11 (p),F
   Oberto, Fabricio,San Antonio,Spurs,3600000,3,10500000,2009-10,C-F
   O'Bryant , Patrick,Toronto,Raptors,797581,4,9670000,2009-10 (t),C
   Odom, Lamar,Los Angeles,Angeles,14148596,6,71700000,2008-09,F
   Okafor, Emeka,Charlotte,Bobcats,9537500,6,72000000,2013-14,C-F
   Okur, Mehmet,Utah,Jazz,9000000,6,50000000,2009-20 (p),C-F
   Ollie, Kevin,Minnesota,Timberwolves,797581,5,15000000,2007-08,G
   O'Neal, Jermaine,Toronto,Raptors,21372000,7,126590000,2007-08 (p),C-F
   Outlaw, Travis,Portland,Trail Blazers,4000000,3,12000000,2009-10,F
   Pachulia, Zaza,Atlanta,Hawks,4000000,4,16000000,2008-09,C
   Padgett, David,Miami,Heat,35000,1,35000,2008-09,C
   Parker, Tony,San Antonio,Spurs,11550000,6,66000000,2010-11,G
   Parker, Smush,Miami,Heat,2430000,1,2430000,2008-09,G
   Parker , Anthony,Toronto,Raptors,4550000,3,12000000,2008-09,G
   Paul, Chris,New Orleans,Hornets,4574189,4,68000000,2011-12,G
   Pavlovic, Sasha,Cleveland,Cavaliers,4696250,2,9838750,2009-10,G-F
   Pecherov, Oleksiy,Washington,Wizards,1446720,5,7717764,2011-12 (t),C-F
   Perkins, Kendrick,Boston,Celtics,4078880,5,16000000,2010-11,C
   Perovic, Kosta,Golden State,Warriors,1944000,3,5000000,2009-10,C
   Peterson, Morris,New Orleans,Hornets,5400000,4,23000000,2010-11,G
   Petro, Johan,Denver,Nuggets,1939893,4,4960000,2008-09 (t),C
   Pierce, Paul,Boston,Celtics,18077903,5,59000000,2010-11,F
   Pietrus, Mickael,Orlando,Magic,4900000,4,21500000,2011-12,G-F
   Posey, James,New Orleans,Hornets,5585000,4,25000000,2011-12,F
   Powe , Leon,Boston,Celtics,797581,3,1917000,2008-09,F
   Powell, Josh,Los Angeles,Angeles,854957,1,800000,2007-08,F-C
   Price, Ronnie,Utah,Jazz,1188000,1,1100000,2007-08,G
   Prince, Tayshaun,Detroit,Pistons,9500000,6,49760000,2010-11,F
   Pruitt, Gabe,Boston,Celtics,711517,4,2187014,2010-11,G
   Przybilla, Joel,Portland,Trail Blazers,6310150,5,32000000,2010-11,C
   Quinn , Chris,Miami,Heat,972581,2,2000000,2009-10,G
   Radmanovic, Vladimir,Charlotte,Bobcats,6049400,5,31000000,2010-11,F
   Randolph, Anthony,Golden State,Warriors,1709280,5,12473314,2012-13,F
   Randolph, Zach,Los Angeles,Clippers,14666667,6,84000000,2010-11,F-C
   Randolph, Shavlik,Portland,Trail Blazers,826269,2,2080000,2007-08,F
   Ratliff, Theo,Philadelphia,76ers,1262375,3,36000000,2007-08,C
   Redick , J.J.,Orlando,Magic,2139720,4,8840000,2009-10 (t),G
   Richards, Jason,Miami,Heat,442114,6,70000000,2010-11,G
   Richardson, Quentin,New York,Knicks,8685500,6,43500000,2009-10 (p),F-G
   Richardson, Jason,Phoenix,Suns,12222221,6,70000000,2010-11,G
   Richardson, Jeremy,Orlando,Magic,769431,1,305798,2007-08,G-F
