teamold,record,winpercent,seasonstart,seasonend,team
Warriors,26-56,0.317,1994,1995,Warriors
Warriors,50-32,0.61,1993,1994,Warriors
Warriors,34-48,0.415,1992,1993,Warriors
Warriors,55-27,0.671,1991,1992,Warriors
Warriors,44-38,0.537,1990,1991,Warriors
Warriors,37-45,0.451,1989,1990,Warriors
Warriors,43-39,0.524,1988,1989,Warriors
Warriors,20-62,0.244,1987,1988,Warriors
Warriors,42-40,0.512,1986,1987,Warriors
Warriors,30-52,0.366,1985,1986,Warriors
Warriors,22-60,0.268,1984,1985,Warriors
Warriors,37-45,0.451,1983,1984,Warriors
Warriors,30-52,0.366,1982,1983,Warriors
Warriors,45-37,0.549,1981,1982,Warriors
Warriors,39-43,0.476,1980,1981,Warriors
Rockets,65-17,0.793,2017,2018,Rockets
Rockets,55-27,0.671,2016,2017,Rockets
Rockets,41-41,0.5,2015,2016,Rockets
Rockets,56-26,0.683,2014,2015,Rockets
Rockets,54-28,0.659,2013,2014,Rockets
Rockets,45-37,0.549,2012,2013,Rockets
Rockets,34-32,0.515,2011,2012,Rockets
Rockets,43-39,0.524,2010,2011,Rockets
Rockets,42-40,0.512,2009,2010,Rockets
Rockets,53-29,0.646,2008,2009,Rockets
Rockets,55-27,0.671,2007,2008,Rockets
Rockets,52-30,0.634,2006,2007,Rockets
Rockets,34-48,0.415,2005,2006,Rockets
Rockets,51-31,0.622,2004,2005,Rockets
Rockets,45-37,0.549,2003,2004,Rockets
Rockets,43-39,0.524,2002,2003,Rockets
Rockets,28-54,0.341,2001,2002,Rockets
Rockets,45-37,0.549,2000,2001,Rockets
Rockets,34-48,0.415,1999,2000,Rockets
Rockets,31-19,0.62,1998,1999,Rockets
Rockets,41-41,0.5,1997,1998,Rockets
Rockets,57-25,0.695,1996,1997,Rockets
Rockets,48-34,0.585,1995,1996,Rockets
Rockets,47-35,0.573,1994,1995,Rockets
Rockets,58-24,0.707,1993,1994,Rockets
Rockets,55-27,0.671,1992,1993,Rockets
Rockets,42-40,0.512,1991,1992,Rockets
Rockets,52-30,0.634,1990,1991,Rockets
Rockets,41-41,0.5,1989,1990,Rockets
Rockets,45-37,0.549,1988,1989,Rockets
Rockets,46-36,0.561,1987,1988,Rockets
Rockets,42-40,0.512,1986,1987,Rockets
Rockets,51-31,0.622,1985,1986,Rockets
Rockets,48-34,0.585,1984,1985,Rockets
Rockets,29-53,0.354,1983,1984,Rockets
Rockets,14-68,0.171,1982,1983,Rockets
Rockets,46-36,0.561,1981,1982,Rockets
Rockets,40-42,0.488,1980,1981,Rockets
Pacers,48-34,0.585,2017,2018,Pacers
Pacers,42-40,0.512,2016,2017,Pacers
Pacers,45-37,0.549,2015,2016,Pacers
Pacers,38-44,0.463,2014,2015,Pacers
Pacers,56-26,0.683,2013,2014,Pacers
Pacers,49-32,0.605,2012,2013,Pacers
Pacers,42-24,0.636,2011,2012,Pacers
Pacers,37-45,0.451,2010,2011,Pacers
Pacers,32-50,0.39,2009,2010,Pacers
Pacers,36-46,0.439,2008,2009,Pacers
Pacers,36-46,0.439,2007,2008,Pacers
Pacers,35-47,0.427,2006,2007,Pacers
Pacers,41-41,0.5,2005,2006,Pacers
Pacers,44-38,0.537,2004,2005,Pacers
Pacers,61-21,0.744,2003,2004,Pacers
Pacers,48-34,0.585,2002,2003,Pacers
Pacers,42-40,0.512,2001,2002,Pacers
Pacers,41-41,0.5,2000,2001,Pacers
Pacers,56-26,0.683,1999,2000,Pacers
Pacers,33-17,0.66,1998,1999,Pacers
Pacers,58-24,0.707,1997,1998,Pacers
Pacers,39-43,0.476,1996,1997,Pacers
Pacers,52-30,0.634,1995,1996,Pacers
Pacers,52-30,0.634,1994,1995,Pacers
Pacers,47-35,0.573,1993,1994,Pacers
Pacers,41-41,0.5,1992,1993,Pacers
Pacers,40-42,0.488,1991,1992,Pacers
Pacers,41-41,0.5,1990,1991,Pacers
Pacers,42-40,0.512,1989,1990,Pacers
Pacers,28-54,0.341,1988,1989,Pacers
Pacers,38-44,0.463,1987,1988,Pacers
Pacers,41-41,0.5,1986,1987,Pacers
Pacers,26-56,0.317,1985,1986,Pacers
